============================================================
ROWS WITH EMPTY TARGET COLUMN
============================================================
Timestamp: 2025-12-11 15:38:34
Total rows with empty column: 4675
Row 262: Target column is empty
Row 263: Target column is empty
Row 264: Target column is empty
Row 265: Target column is empty
Row 266: Target column is empty
Row 267: Target column is empty
Row 268: Target column is empty
Row 269: Target column is empty
Row 270: Target column is empty
Row 271: Target column is empty
Row 272: Target column is empty
Row 273: Target column is empty
Row 274: Target column is empty
Row 275: Target column is empty
Row 276: Target column is empty
Row 277: Target column is empty
Row 278: Target column is empty
Row 279: Target column is empty
Row 280: Target column is empty
Row 281: Target column is empty
Row 282: Target column is empty
Row 283: Target column is empty
Row 284: Target column is empty
Row 285: Target column is empty
Row 286: Target column is empty
Row 287: Target column is empty
Row 289: Target column is empty
Row 290: Target column is empty
Row 291: Target column is empty
Row 292: Target column is empty
Row 293: Target column is empty
Row 294: Target column is empty
Row 295: Target column is empty
Row 296: Target column is empty
Row 297: Target column is empty
Row 298: Target column is empty
Row 299: Target column is empty
Row 300: Target column is empty
Row 301: Target column is empty
Row 302: Target column is empty
Row 303: Target column is empty
Row 304: Target column is empty
Row 305: Target column is empty
Row 306: Target column is empty
Row 307: Target column is empty
Row 308: Target column is empty
Row 309: Target column is empty
Row 310: Target column is empty
Row 311: Target column is empty
Row 312: Target column is empty
Row 313: Target column is empty
Row 314: Target column is empty
Row 315: Target column is empty
Row 316: Target column is empty
Row 317: Target column is empty
Row 318: Target column is empty
Row 319: Target column is empty
Row 320: Target column is empty
Row 321: Target column is empty
Row 322: Target column is empty
Row 323: Target column is empty
Row 324: Target column is empty
Row 325: Target column is empty
Row 326: Target column is empty
Row 327: Target column is empty
Row 328: Target column is empty
Row 329: Target column is empty
Row 330: Target column is empty
Row 331: Target column is empty
Row 332: Target column is empty
Row 333: Target column is empty
Row 334: Target column is empty
Row 335: Target column is empty
Row 336: Target column is empty
Row 337: Target column is empty
Row 338: Target column is empty
Row 339: Target column is empty
Row 340: Target column is empty
Row 341: Target column is empty
Row 342: Target column is empty
Row 343: Target column is empty
Row 344: Target column is empty
Row 345: Target column is empty
Row 346: Target column is empty
Row 347: Target column is empty
Row 348: Target column is empty
Row 349: Target column is empty
Row 350: Target column is empty
Row 351: Target column is empty
Row 352: Target column is empty
Row 353: Target column is empty
Row 354: Target column is empty
Row 355: Target column is empty
Row 356: Target column is empty
Row 357: Target column is empty
Row 358: Target column is empty
Row 359: Target column is empty
Row 360: Target column is empty
Row 361: Target column is empty
Row 362: Target column is empty
Row 363: Target column is empty
Row 364: Target column is empty
Row 365: Target column is empty
